gameid,title,developers,publishers,genres,supported_languages,release_date,platform
726851,Hannah,,,,,2024-10-31,xbox
374020,House Flipper,['Empyrean'],['PlayWay S.A.'],['Simulation'],"['Japanese', 'French', 'German', 'Russian', 'Chinese (simplified)', 'Polish', 'Portuguese (Brazil)']",2020-02-26,xbox
722997,Spiral,,,,,2024-10-11,xbox
653553,ROUNDS,"['Friendly Foe', 'Landfall Games']",['Landfall Games'],['Party'],,2024-02-21,xbox
456131,Hell Let Loose,"['Black Matter', 'Team17 Software']",['Team17 Software'],['First Person Shooter'],,2021-10-05,xbox
717371,Quartz Caverns,['MerakiDev'],['MerakiDev'],['Platformer'],,2024-10-16,xbox
703642,Alpacapaca Dash (Windows),['Synnergy Circle Games'],['Synnergy Circle Games'],['Platformer'],,2024-09-04,xbox
717252,Retreat To Enen,['Head West'],['indie.io'],['Survival'],,2024-10-30,xbox
716287,Kong: Survivor Instinct,['7Levels'],['7Levels'],['Platformer'],,2024-10-22,xbox
716357,Amanda the Adventurer,['MANGLEDmaw Games'],['DreadXP'],['Puzzle'],,2024-10-10,xbox
689933,Elon and the Divine Proof,['DERIK DF'],['DERIK DF'],['Platformer'],,2024-09-04,xbox
707197,Dark Elven Legacy,['Old School Vibes'],['Old School Vibes'],['Platformer'],,2024-09-18,xbox
715064,Flint: Treasure of Oblivion,['Savage Level'],['Microids'],"['Strategy', 'Turn Based']",,2024-10-24,xbox
597922,Puzzle Quest 3,['Infinity Plus 2'],['505 Games'],"['Puzzle', 'Role Playing']",,2023-05-31,xbox
713121,Cats with Guns,['Synnergy Circle Games'],['Synnergy Circle Games'],"['Roguelite', ""Shoot 'em up""]",,2024-10-01,xbox
713783,Cats With Guns (Windows),['Synnergy Circle Games'],['Synnergy Circle Games'],"['Roguelite', ""Shoot 'em up""]",,2024-10-01,xbox
713122,Block & Shot,['17Studio'],['17Studio'],['Puzzle'],,2024-10-04,xbox
713027,NHL 25,['EA Vancouver'],['Electronic Arts'],"['Sports', 'Hockey']",,2024-10-04,xbox
712187,Cat in Rain,['Maria'],['Phoenix Reborn Games'],['Platformer'],,2024-09-25,xbox
723180,It Could Happen To You,['Pixel Noire Games'],['Ratalaika Games'],['Visual Novel'],,2024-10-18,xbox
1582,CSI: Deadly Intent,['telltale games'],['Ubisoft'],"['Action', 'Adventure']","['French', 'Spanish', 'German', 'Italian']",,xbox
745830,Godsvivors,['Titan'],['AFIL Games'],"['Roguelite', ""Shoot 'em up""]",,2024-12-04,xbox
745401,Railroads Online,['Stefan Kelnberger'],['astragon Entertainment'],['Sandbox'],,2024-12-05,xbox
736287,Check and Slash,['Gate of Madness'],['AFIL Games'],"['Action-Adventure', 'Roguelite']",,2024-11-15,xbox
746777,Magical Bakery,['SUPERLUMEN'],['SOEDESCO'],['Simulation'],,2024-11-07,xbox
746658,Aery - Peace of Mind 2,['EpiXR Games'],['EpiXR Games'],,,2025-01-24,xbox
743687,まつろぱれっと,,,,,2024-11-15,xbox
744426,Tell Me Your Story,['RedDeerGames'],['RedDeerGames'],['Puzzle'],,2024-11-14,xbox
743836,Repit,['17Studio'],['17Studio'],['Platformer'],,2024-11-15,xbox
742669,Metal Slug Tactics,['Leikir Studio'],['Dotemu'],"['Role Playing', 'Strategy', 'Turn Based']",,2024-11-05,xbox
745756,The Rise of the Golden Idol,['Color Gray Games'],['PlayStack'],"['Puzzle', 'Adventure', 'Point & Click']",,2024-11-12,xbox
667238,Beats of Montezuma,,,,,2024-04-19,xbox
742754,Songs of Silence,['Chimera Entertainment'],['Chimera Entertainment'],"['Strategy', 'Turn Based']",,2024-11-13,xbox
738556,Grim Idle,['EvilCharm Games'],['Desert Water Games'],['Management'],,2024-11-08,xbox
169268,On A Roll 3D,['Battenberg Software'],['Battenberg Software'],['Indie'],,2018-12-07,xbox
739473,Pyramid Platformer - The Gem Heist,['Fabrizio Abreu'],['Fa Games'],['Platformer'],,2024-11-06,xbox
170347,Kingdom Two Crowns,['Coatsink'],['Raw Fury'],['strategy'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Russian', 'Korean', 'Chinese (simplified)']",2018-12-11,xbox
745398,Beat the Machine Rebooted,['Sanguine Studios'],['Sanguine Studios'],"[""Shoot 'em up""]",,2024-12-06,xbox
746250,Cat in Rain (Windows),['Maria'],['Phoenix Reborn Games'],['Platformer'],,2024-11-15,xbox
743677,DEATH STRANDING DIRECTOR'S CUT,['Kojima Productions'],['505 Games'],"['Stealth', 'Open World']",,2024-11-07,xbox
739362,Shines Over: The Damned,['Firenut Games'],['Firenut Games'],['Adventure'],,2024-11-29,xbox
702268,Arrowstorm Ascendant [Windows],['Synnergy Circle Games'],['Synnergy Circle Games'],"['Roguelite', ""Shoot 'em up""]",,2024-08-28,xbox
739409,Cursed Feed,['Playstige Interactive'],['Playstige Interactive'],['Adventure'],,2024-11-29,xbox
739402,Duck Run,['DuDeeki Studio'],['AFIL Games'],['Platformer'],,2024-11-06,xbox
492777,Crusader Kings III,,,,,2022-03-29,xbox
738595,Food Boy,['Dopamin Game Studio'],['Short N Sweet'],['Action'],,2024-11-13,xbox
738929,ELDERBORN,['Hyperstrange'],['Hyperstrange'],"['Action-RPG', 'Role Playing']",,2024-11-08,xbox
712955,Dagon: Complete Edition,['Bit Golem'],['Feardemic'],['Adventure'],,2024-10-10,xbox
746657,Endless Deaths,['EpiXR Games'],['EpiXR Games'],"[""Shoot 'em up""]",,2024-12-06,xbox
184897,2URVIVE,['2BAD GAMES'],['2BAD GAMES'],['Indie'],['French'],2019-06-12,xbox
15358,Stardew Valley,['ConcernedApe'],['Chucklefish'],"['strategy', 'Simulation', 'Role-Playing Games (RPG)']",,2016-12-14,xbox
717928,Soul Stalker,"['Radhood', 'Origami Panda Studio']",['Radhood'],['Roguelite'],,2024-10-24,xbox
718344,Hidden Cats in Spooky Town,['Nukearts Studio'],['Silesia Games'],['Puzzle'],,2024-10-23,xbox
719911,SlavicPunk: Oldtimer,"['Gaming Factory', 'Red Square Games']",['Gaming Factory'],['Action-Adventure'],,2024-11-06,xbox
718031,Beautiful Sakura: Running Club,['Cropware'],['Cropware'],['Visual Novel'],,2024-11-13,xbox
